Statistic,Sharing assumption,Unit,Group or category,Sample base,Population base,Population base sampling error,Estimate,Sampling error,Note
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 5-9,759,327000,0,21660,890,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 10-14,723,314000,0,23670,1000,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 15-19,561,305000,0,32620,1990,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 20-24,519,332000,0,35120,2650,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 25-29,642,367000,0,38330,2950,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 30-34,708,338000,0,39910,1790,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 35-39,681,310000,0,38620,2290,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 40-44,630,299000,0,44110,3060,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 45-49,693,330000,0,44890,3480,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 50-54,627,317000,0,49060,5850,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 55-59,633,314000,0,49640,3140,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 60-64,558,270000,0,51450,5190,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 65-69,513,233000,0,49690,4410,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 70-74,426,190000,0,42340,4550,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 75-79,339,125000,0,40020,2970,
Average Final income,Intra-household mOECD,Dollars (tax year 2018/19),Age 80+,312,157000,0,46390,2860,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,,,,,,Not applicable
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,,,,,,Not applicable
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,,,,,,Not applicable
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,,,,,,Suppressed
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,102,57000,12000,34600,8960,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,213,114000,17000,46020,8480,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,165,79000,12000,51780,4450,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,90,41000,9000,48240,6880,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,90,45000,10000,52220,5260,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,198,95000,14000,58280,7350,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,297,155000,15000,62840,14010,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,384,199000,14000,54150,4520,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,327,165000,11000,59380,8070,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,336,158000,9000,52040,5750,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,282,135000,10000,42800,6250,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,216,84000,7000,39100,3440,
Average Final income - Couple families,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,141,76000,7000,43640,4860,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,543,244000,11000,22490,980,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,570,257000,10000,22590,1130,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,525,241000,11000,23540,1380,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,225,133000,14000,27880,2470,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,30,15000,7000,24000,3180,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,162,80000,16000,29300,2140,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,363,162000,13000,37410,2560,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,423,184000,14000,37110,3170,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,381,178000,12000,44940,5840,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,315,163000,15000,43240,5190,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,168,87000,15000,47220,6950,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,66,36000,9000,43580,8190,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,27,16000,5000,40880,11260,
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,,,,,,Suppressed
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,,,,,,Suppressed
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,,,,,,Suppressed
Average Final income - Couple-with-children families,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,,,,,,Suppressed
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,,,,,,Not applicable
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,,,,,,Not applicable
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,,,,,,Not applicable
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,216,119000,13000,21380,1570,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,366,248000,13000,30080,2150,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,225,150000,15000,37150,2290,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,135,79000,11000,36520,4900,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,114,63000,10000,40140,5530,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,90,47000,9000,48740,6430,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,132,58000,9000,44620,6010,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,129,62000,10000,44150,5010,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,174,76000,11000,50200,5380,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,192,85000,10000,46620,10430,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,168,71000,9000,47370,6620,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,135,52000,9000,43690,4560,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,120,39000,7000,42310,5000,
Average Final income - Single-member families,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,174,81000,8000,47680,2460,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,120,61000,11000,16620,1300,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,189,70000,10000,17640,590,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,198,73000,11000,19100,660,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,93,42000,11000,20190,1430,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,21,12000,5000,25500,2920,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,45,23000,6000,30170,2800,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,45,17000,6000,33590,3720,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,54,23000,6000,33390,2930,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,72,29000,6000,39340,4480,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,51,14000,5000,42570,8370,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,33,13000,5000,36230,6840,
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,,,,,,Suppressed
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,,,,,,Suppressed
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,,,,,,Suppressed
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,,,,,,Suppressed
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,,,,,,Suppressed
Average Final income - Sole-parent families,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,,,,,,Suppressed
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,3050,50,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,1490,30,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,1530,30,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,1820,40,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,2000,70,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,2320,70,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,2650,80,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,2500,70,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,2570,100,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,2730,100,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,3220,130,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,3900,150,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,4680,160,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,6140,190,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,8010,190,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,10890,240,
Average Health spending,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,18250,550,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,140,60,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,590,150,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,810,180,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,830,230,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,750,180,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,830,210,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,530,170,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,580,160,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,580,170,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,940,270,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,820,280,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,440,170,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,540,230,
Average Housing support,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,,,Suppressed
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 15-19,243,134000,14000,8050,980,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 20-24,537,344000,13000,6910,710,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 25-29,804,452000,23000,8750,980,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 30-34,1155,538000,25000,13360,1090,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 35-39,1191,531000,34000,15630,1360,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 40-44,1218,563000,33000,17720,1400,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 45-49,1035,482000,32000,14000,1080,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 50-54,840,418000,25000,11080,860,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 55-59,738,359000,21000,8950,670,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 60-64,630,309000,19000,8800,670,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 65-69,522,237000,14000,9960,650,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 70-74,411,185000,12000,12940,690,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 75-79,342,124000,10000,16170,990,
Average In-kind spending,Family,Dollars (tax year 2018/19),Principal Age 80+,318,159000,8000,23200,1010,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 15-19,243,134000,14000,1940,600,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 20-24,537,344000,13000,4190,740,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 25-29,804,452000,23000,6500,970,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 30-34,1155,538000,25000,6890,1110,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 35-39,1191,531000,34000,6980,1110,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 40-44,1218,563000,33000,6660,1110,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 45-49,1035,482000,32000,4580,970,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 50-54,840,418000,25000,5050,1010,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 55-59,738,359000,21000,4860,1020,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 60-64,630,309000,19000,8250,1080,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 65-69,522,237000,14000,29200,1120,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 70-74,411,185000,12000,34260,1140,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 75-79,342,124000,10000,33010,1290,
Average Income support,Family,Dollars (tax year 2018/19),Principal Age 80+,318,159000,8000,30360,1120,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,663,305000,0,2160,230,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,759,327000,0,1900,220,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,723,314000,0,1770,210,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,561,305000,0,1630,290,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,519,332000,0,3350,520,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,642,367000,0,3610,520,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,708,338000,0,3370,520,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,681,310000,0,3240,530,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,630,299000,0,3100,550,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,693,330000,0,2240,450,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,627,317000,0,2690,540,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,633,314000,0,2780,480,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,558,270000,0,5550,680,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,513,233000,0,18920,770,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,426,190000,0,21310,610,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,339,125000,0,21660,820,
Average Income support,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,312,157000,0,23050,850,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,820,260,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,3880,630,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,4650,640,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,4410,740,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,4490,680,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,4150,740,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,2760,570,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,3000,650,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,2660,550,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,4420,690,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,20410,620,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,22040,510,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,22120,620,
Average Income support,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,23060,770,
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 0-4,663,305000,0,0,0,
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 5-9,759,327000,0,0,0,
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 10-14,723,314000,0,0,0,
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 15-19,561,305000,0,50,10,NB - Sampling error is 21-50% of point estimate
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 20-24,519,332000,0,140,20,
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 25-29,642,367000,0,120,20,
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 30-34,708,338000,0,50,10,NB - Sampling error is 21-50% of point estimate
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 35-39,681,310000,0,50,10,NB - Sampling error is 21-50% of point estimate
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 40-44,630,299000,0,50,20,NB - Sampling error is 21-50% of point estimate
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 45-49,693,330000,0,60,10,
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 50-54,627,317000,0,70,10,
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 55-59,633,314000,0,70,10,
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 60-64,558,270000,0,70,20,NB - Sampling error is 21-50% of point estimate
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 65-69,513,233000,0,,,Suppressed
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 70-74,426,190000,0,0,0,
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 75-79,339,125000,0,,,Suppressed
Average Independent Earner Tax Credit,No sharing,Dollars (tax year 2018/19),Age 80+,312,157000,0,0,0,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 15-19,243,134000,14000,1760,220,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 20-24,537,344000,13000,3050,340,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 25-29,804,452000,23000,4830,400,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 30-34,1155,538000,25000,7110,610,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 35-39,1191,531000,34000,7910,710,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 40-44,1218,563000,33000,8560,690,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 45-49,1035,482000,32000,9690,1110,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 50-54,840,418000,25000,8830,700,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 55-59,738,359000,21000,9100,1050,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 60-64,630,309000,19000,7400,700,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 65-69,522,237000,14000,8630,1100,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 70-74,411,185000,12000,7710,1020,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 75-79,342,124000,10000,6640,860,
Average Indirect taxes,Family,Dollars (tax year 2018/19),Principal Age 80+,318,159000,8000,4120,410,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 0-4,663,305000,0,2300,160,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 5-9,759,327000,0,2400,270,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 10-14,723,314000,0,2320,150,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 15-19,561,305000,0,2470,210,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 20-24,519,332000,0,2710,290,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 25-29,642,367000,0,3200,220,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 30-34,708,338000,0,3330,260,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 35-39,681,310000,0,3310,240,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 40-44,630,299000,0,3560,240,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 45-49,693,330000,0,4150,400,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 50-54,627,317000,0,4760,350,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 55-59,633,314000,0,5180,360,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 60-64,558,270000,0,4780,340,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 65-69,513,233000,0,5390,610,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 70-74,426,190000,0,5070,450,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 75-79,339,125000,0,4200,450,
Average Indirect taxes,Intra-family equal,Dollars (tax year 2018/19),Age 80+,312,157000,0,3040,240,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 0-4,663,305000,0,1290,90,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 5-9,759,327000,0,1390,170,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 10-14,723,314000,0,1340,90,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 15-19,561,305000,0,1680,120,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 20-24,519,332000,0,2710,290,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 25-29,642,367000,0,3350,230,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 30-34,708,338000,0,3910,310,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 35-39,681,310000,0,4050,280,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 40-44,630,299000,0,4410,290,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 45-49,693,330000,0,4830,490,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 50-54,627,317000,0,5120,360,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 55-59,633,314000,0,5370,430,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 60-64,558,270000,0,4950,380,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 65-69,513,233000,0,5490,650,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 70-74,426,190000,0,4970,500,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 75-79,339,125000,0,4240,460,
Average Indirect taxes,Intra-family mOECD,Dollars (tax year 2018/19),Age 80+,312,157000,0,3080,260,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 0-4,663,305000,0,1320,80,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 5-9,759,327000,0,1400,170,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 10-14,723,314000,0,1450,100,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 15-19,561,305000,0,2540,160,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 20-24,519,332000,0,3050,240,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 25-29,642,367000,0,3390,240,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 30-34,708,338000,0,3860,290,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 35-39,681,310000,0,4000,280,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 40-44,630,299000,0,4250,280,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 45-49,693,330000,0,4510,430,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 50-54,627,317000,0,4740,390,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 55-59,633,314000,0,5160,400,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 60-64,558,270000,0,4830,340,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 65-69,513,233000,0,5360,630,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 70-74,426,190000,0,4940,500,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 75-79,339,125000,0,4240,460,
Average Indirect taxes,Intra-household mOECD,Dollars (tax year 2018/19),Age 80+,312,157000,0,3090,250,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 15-19,243,134000,14000,16080,2250,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 20-24,537,344000,13000,28890,3040,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 25-29,804,452000,23000,44500,6780,
Average Market income,Family,Dollars (tax year 2018/19),Principal Age 30-34,1155,538000,25000,53200,4110,
